"semanticResourceURN";"Code List";"Code Value";"codeName";"Definition";"resourceSubTypeCode";"Domain";"ExternalLink";"changeLog";"Status";"Version"
"urn:gs1:gdd:cl:TradeItemDateOnPackagingTypeCode:EXPIRATION_DATE";"TradeItemDateOnPackagingTypeCode";"EXPIRATION_DATE";"Expiration Date";"The expiration date is the date that determines the limit of consumption or use of a product. Its meaning is determined based on the trade item context (e.g., for food, the date will indicate the possibility of a direct health risk resulting from use of the product after the date, for pharmaceutical products, it will indicate the possibility of an indirect health risk resulting from the ineffectiveness of the product after the date). It is often referred to as ""use by date"" or ""maximum durability date.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemDateOnPackagingTypeCode:FREEZE_BY";"TradeItemDateOnPackagingTypeCode";"FREEZE_BY";"Freeze By";"Indicates that the product if not consumed by the date listed on the package, it can be frozen to extend the life if done by this date.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";4
"urn:gs1:gdd:cl:TradeItemDateOnPackagingTypeCode:LAST_SALE_DATE";"TradeItemDateOnPackagingTypeCode";"LAST_SALE_DATE";"Last Sale Date";"The trade item is marked with a date that specifies the last date a trade item may be sold to a consumer. The difference between Last Sale date, Best before, and Expiration is that Best Before is used for quality of product may deteriorate, Expiration is the maximum date of quality, last sale is the date the item can no longer be sold. These support different business purposes.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:TradeItemDateOnPackagingTypeCode:NO_DATE_MARKED";"TradeItemDateOnPackagingTypeCode";"NO_DATE_MARKED";"No Date Marked";"No date is marked on the product or packaging.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";3
"urn:gs1:gdd:cl:TradeItemDateOnPackagingTypeCode:PACKAGING_DATE";"TradeItemDateOnPackagingTypeCode";"PACKAGING_DATE";"Packaging Date";"The packaging date is the date when the goods were packed as determined by the packager. The date may refer to the trade item itself or to items contained.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemDateOnPackagingTypeCode:PRODUCTION_DATE";"TradeItemDateOnPackagingTypeCode";"PRODUCTION_DATE";"Production Date";"The production date is the production or assembly date determined by the manufacturer. The date may refer to the trade item itself or to items contained.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:tradeItemExclusiveSellingLocationCode";"TradeItemExclusiveSellingLocationCode";;;"A code Identifying the kind of selling location(s) in which the product can be sold for example BOAT .  This can apply to both physical and digital locations.";"CODELIST";"GDSN";;"CHANGED";"CURRENT";1
"urn:gs1:gdd:cl:tradeItemExclusiveSellingLocationCode:AIRCRAFT";"TradeItemExclusiveSellingLocationCode";"AIRCRAFT";"Aircraft";"The product is intended to be sold in the aircraft.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:tradeItemExclusiveSellingLocationCode:AIRPORT";"TradeItemExclusiveSellingLocationCode";"AIRPORT";"Airport";"The product is intended to be sold in the airport.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:tradeItemExclusiveSellingLocationCode:BOAT";"TradeItemExclusiveSellingLocationCode";"BOAT";"Boat";"The product is intended to be sold in the boat.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:tradeItemExclusiveSellingLocationCode:CITY_CENTRE_SHOP";"TradeItemExclusiveSellingLocationCode";"CITY_CENTRE_SHOP";"City Centre Shop";"The product is intended to be sold in a city centre. A city centre shop is centrally located in the commercial, cultural and often the historical, political and geographic heart of a city, especially those in the Western world.
";"CODEVALUE";"GDSN";;"CHANGED";"CURRENT";2
"urn:gs1:gdd:cl:tradeItemExclusiveSellingLocationCode:TRAIN";"TradeItemExclusiveSellingLocationCode";"TRAIN";"Train";"The product is intended to be sold in the train.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:tradeItemFormCode";"TradeItemFormCode";;;"A code representation of the form of the actual trade item, not the packaging for example OBLONG.";"CODELIST";"GDSN";;"CHANGED";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:ELLIPSOID";"TradeItemFormCode";"ELLIPSOID";"Ellipsoid";"Rounded sides shape with more pointed ends.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:ELONGATED";"TradeItemFormCode";"ELONGATED";"Elongated";"Item is longer than normal similar type of item.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:FLAT";"TradeItemFormCode";"FLAT";"Flat";"Item is closer to two sided with flattened sides.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:FLAT_ROUND";"TradeItemFormCode";"FLAT_ROUND";"Flat Round";"Item is flat-like on two sides with rounded edges.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:IRREGULAR";"TradeItemFormCode";"IRREGULAR";"Irregular";"A bulk code to fill in shapes that are not a common type shape. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:LONG";"TradeItemFormCode";"LONG";"Long";"Item is naturally and usually long.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:OBLONG";"TradeItemFormCode";"OBLONG";"Oblong";"A cylinder shape with rounded ends.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:PEG_TOP";"TradeItemFormCode";"PEG_TOP";"Peg Top";"Item is shaped to be like a peg. Fat, wide at one end short and smaller on other end. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:POINTED";"TradeItemFormCode";"POINTED";"Pointed";"Long item that comes to a point at one end.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:RIBBED";"TradeItemFormCode";"RIBBED";"Ribbed";"Item with ridges going from end to end.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:ROUND";"TradeItemFormCode";"ROUND";"Round";"A completely circular shape with no flat sides or pointed ends.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemFormCode:SQUARE";"TradeItemFormCode";"SQUARE";"Square";"Item is shaped with most sides being flat. This is also referred to as blunt or block.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemIdentificationMarkingTypeCode";"TradeItemIdentificationMarkingTypeCode";;;"A code determining whether the item and/or its packaging is marked with a specific identification.";"CODELIST";"GDSN";;"CHANGED";"CURRENT";2
"urn:gs1:gdd:cl:TradeItemIdentificationMarkingTypeCode:DONATION_IDENTIFICATION_NUMBER";"TradeItemIdentificationMarkingTypeCode";"DONATION_IDENTIFICATION_NUMBER";"Donation Notification Number";"Indicates the device is managed by a Donation Identification Number. This number can be found on the device label or packaging. The Donation Identification Number is applicable to devices that are also regulated as HCT/Ps and is a number that is assigned to each donation.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemIdentificationMarkingTypeCode:NUTRITION_PACKAGING";"TradeItemIdentificationMarkingTypeCode";"NUTRITION_PACKAGING ";"Nutrition Packaging";"The proprietary nutrition packaging code or number marked on the package which appears next to the nutrition facts";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:TradeItemIdentificationMarkingTypeCode:VENDOR_PACKAGING";"TradeItemIdentificationMarkingTypeCode";"VENDOR_PACKAGING ";"Vendor Packaging";"The proprietary packaging code or number marked on the package which appears under the barcode symbology";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:TradeItemPriceTypeCode";"TradeItemPriceTypeCode";;;"Code list developed and managed by GS1. ";"CODELIST";"GDSN";;"NEW";"CURRENT";3
"urn:gs1:gdd:cl:TradeItemPriceTypeCode:BULK_PRICE";"TradeItemPriceTypeCode";"BULK_PRICE";"Bulk Price";"The amount of money for which the trade item is bought or sold when buying or selling a standard configuration.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemPriceTypeCode:INPATIENT_REGULATORY_REIMBURSMENT_PRICE";"TradeItemPriceTypeCode";"INPATIENT_REGULATORY_REIMBURSMENT_PRICE";"Inpatient Regulatory Reimbursement Price";"Price defined by the authority in charge (e.g. the Ministry of Health)  as reimbursement for a product only sold by hospitals to an inpatient. This price is unique for all hospitals.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:TradeItemPriceTypeCode:LOOSE_PRICE";"TradeItemPriceTypeCode";"LOOSE_PRICE";"Loose Price";"The amount of money for which the trade item is bought or sold when buying or selling individual units that are not in a standard configuration.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemPriceTypeCode:MINIMUM_ADVERTISED_PRICE";"TradeItemPriceTypeCode";"MINIMUM_ADVERTISED_PRICE";"Minimum Advertised Price";"The minimum consumer price (amount) at which the trade item may be advertised.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemPriceTypeCode:OUTPATIENT_REGULATORY_REIMBURSMENT_PRICE";"TradeItemPriceTypeCode";"OUTPATIENT_REGULATORY_REIMBURSMENT_PRICE";"Outpatient Regulatory Reimbursement Price";"Price defined by the authority in charge of reimbursement for a product (e.g. the Ministry of Health) as only sold by hospitals to an outpatient. This price is unique for all hospitals.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";2
"urn:gs1:gdd:cl:TradeItemPriceTypeCode:RETAIL_PRICE_ON_TRADE_ITEM";"TradeItemPriceTypeCode";"RETAIL_PRICE_ON_TRADE_ITEM";"Retail Price on Trade Item";"The retail price as marked on the trade item package";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemPriceTypeCode:UMRP";"TradeItemPriceTypeCode";"UMRP";"Unilateral Minimum Retail Price";"Under a Unilateral Policy (or ""Colgate Policy"" or ""Unilateral Minimum Retail Price Policy"") a manufacturer, without any agreement with the reseller, announces a minimum resale price and refuses to make further sales to any reseller that sells below the announced price. ";"CODEVALUE";"GDSN";;"NEW";"CURRENT";3
"urn:gs1:gdd:cl:TradeItemTemperatureConditionTypeCode";"TradeItemTemperatureConditionTypeCode";;"Tradeitemtemperatureconditiontypecode";"Code list developed and managed by GS1. ";"CODELIST";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemTemperatureConditionTypeCode:DEEP_FROZEN";"TradeItemTemperatureConditionTypeCode";"DEEP_FROZEN";"Deep Frozen";"Temperature  -18 °C or less   Temperature  -0.4 °F or less";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemTemperatureConditionTypeCode:FRESH";"TradeItemTemperatureConditionTypeCode";"FRESH";"Fresh";"Never frozen";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemTemperatureConditionTypeCode:FROZEN";"TradeItemTemperatureConditionTypeCode";"FROZEN";"Frozen";"Temperature -12 °C to -17°C   Temperature 10.4 °F to 1.4 °F";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemTemperatureConditionTypeCode:THAWED";"TradeItemTemperatureConditionTypeCode";"THAWED";"Thawed";"Previously frozen";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode";"TradeItemUnitDescriptorCode";;;"Code list developed and managed by GS1.";"CODELIST";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode:BASE_UNIT_OR_EACH";"TradeItemUnitDescriptorCode";"BASE_UNIT_OR_EACH";"Base Unit or Each";"The lowest level of the item hierarchy intended or labeled for individual resale.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode:CASE";"TradeItemUnitDescriptorCode";"CASE";"Case";"A standard trade item shipping unit that contains a single or multiple GTINs. Includes an ½ or ¼ pallet and an ½ or ¼ box pallet.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode:DISPLAY_SHIPPER";"TradeItemUnitDescriptorCode";"DISPLAY_SHIPPER";"Display Shipper";"A display, a shipper. May have a “PL” parent. May have (CA or EA) children in multiple instances. It may be Orderable and can be a Consumer Unit.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode:MIXED_MODULE";"TradeItemUnitDescriptorCode";"MIXED_MODULE";"Mixed Module";"A unit load that is a “display ready pallet” that may contain a single GTIN or several unique GTINs that is intended to go directly to the selling floor.";"CODEVALUE";"GDSN";;"CHANGED";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode:PACK_OR_INNER_PACK";"TradeItemUnitDescriptorCode";"PACK_OR_INNER_PACK";"Pack or Inner Pack";"A logistical unit between case and each. This may be a consumable innerpack (i.e. Carton of Cigarettes) or it may be simply a logistical pack (i.e. Dozes of toothbrushes).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode:PALLET";"TradeItemUnitDescriptorCode";"PALLET";"Pallet";"A unit load that contains a single or multiple GTINs Includes box pallet";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemUnitDescriptorCode:TRANSPORT_LOAD";"TradeItemUnitDescriptorCode";"TRANSPORT_LOAD";"Transport Load";"Trade item above the pallet level used for transporting trade items. For example truck load, container, rail car, ship, etc.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemVariantTypeCode";"TradeItemVariantTypeCode";;;"Code list developed and managed by GS1. ";"CODELIST";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemVariantTypeCode:COLOUR";"TradeItemVariantTypeCode";"COLOUR";"Colour";"The product variant is defined by colour.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemVariantTypeCode:FLAVOUR";"TradeItemVariantTypeCode";"FLAVOUR";"Flavour";"A quality that affects the sense of taste.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemVariantTypeCode:SCENT";"TradeItemVariantTypeCode";"SCENT";"Scent";"A quality that affects the sense of scent.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TradeItemVariantTypeCode:SIZE";"TradeItemVariantTypeCode";"SIZE";"Size";"The product variant is defined by size.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode";"TransactionalMeasurementUnitCode";;;"A code depicting units of measure for ordering and selling";"CODELIST";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:15";"TransactionalMeasurementUnitCode";"15";"Stick";"Stick";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:2P";"TransactionalMeasurementUnitCode";"2P";"Kilobyte";"Kilobyte: A unit of information equal to 10³ (1000) bytes.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:4G";"TransactionalMeasurementUnitCode";"4G";"Microlitre";"Microlitre";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:4H";"TransactionalMeasurementUnitCode";"4H";"Micrometre";"Micrometre: a millionth of a metre, also termed micron.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:4L";"TransactionalMeasurementUnitCode";"4L";"Megabyte";"Megabyte: A unit of information equal to 10⁶ (1000000) bytes.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:58";"TransactionalMeasurementUnitCode";"58";"Net Kilograms";"Net Kilograms";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:5B";"TransactionalMeasurementUnitCode";"5B";"Batch/ Count";"Batch/ Count: A unit of count defining the number of batches (batch: quantity of material produced in one operation or number of animals or persons coming at once).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:A71";"TransactionalMeasurementUnitCode";"A71";"Femtometre: a quadrillionth of a metre (10 to the negative 15th power)";"Femtometre: a quadrillionth of a metre (10 to the negative 15th power)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:AD";"TransactionalMeasurementUnitCode";"AD";"Byte";"Byte: A unit of information equal to 8 bits.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:APZ";"TransactionalMeasurementUnitCode";"APZ";"Troy Ounce";"Troy Ounce: The troy ounce is a unit of imperial measure. In the present day it is most commonly used to gauge the weight and therefore the price of precious metals. One troy ounce equals 480 grains or 31.1035 grams.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:AS";"TransactionalMeasurementUnitCode";"AS";"Assortment";"Assortment: A unit of count defining the number of assortments (assortment: set of items grouped in a mixed collection).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:B8";"TransactionalMeasurementUnitCode";"B8";"Board";"Board";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BA";"TransactionalMeasurementUnitCode";"BA";"Bale";"Bale";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BAR";"TransactionalMeasurementUnitCode";"BAR";"Bar (unit of pressure)";"Bar (unit of pressure)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BB";"TransactionalMeasurementUnitCode";"BB";"Base Box";"Base Box: A unit of area of 112 sheets of tin mil products (tin plate, tin free steel or black plate) 14 by 20 inches, or 31,360 square inches.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BE";"TransactionalMeasurementUnitCode";"BE";"Bundle";"Bundle";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BFT";"TransactionalMeasurementUnitCode";"BFT";"Board Foot";"Board Foot: A unit of volume defining the number of cords (cord: a stack of firewood of 128 cubic feet).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BG";"TransactionalMeasurementUnitCode";"BG";"Bag";"Bag";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BLL";"TransactionalMeasurementUnitCode";"BLL";"Barrel";"Barrel";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BN";"TransactionalMeasurementUnitCode";"BN";"Bulk";"Bulk";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BO";"TransactionalMeasurementUnitCode";"BO";"Bottle";"Bottle";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BP";"TransactionalMeasurementUnitCode";"BP";"Hundred Board Feet";"Hundred Board Feet: A unit of volume equal to one hundred board foot.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BUA";"TransactionalMeasurementUnitCode";"BUA";"Bushel (US) ";"Bushel (US): A bushel is an imperial and U.S. customary unit of dry volume, equivalent in each of these systems to 4 pecks or 8 gallons. It is used for volumes of dry commodities (not liquids), most often in agriculture.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BUI";"TransactionalMeasurementUnitCode";"BUI";"Bushel (UK)";"Bushel (UK)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:BX";"TransactionalMeasurementUnitCode";"BX";"Box";"Box";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:C34";"TransactionalMeasurementUnitCode";"C34";"Mole";"Mole";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:C45";"TransactionalMeasurementUnitCode";"C45";"Nanometre";"Nanometre:  a billionth of a metre (10 to the negative 9th power)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:C52";"TransactionalMeasurementUnitCode";"C52";"Picometre";"Picometre:  a trillionth of a metre (10 to the negative 12th power)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CA";"TransactionalMeasurementUnitCode";"CA";"Case";"Case";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CEL";"TransactionalMeasurementUnitCode";"CEL";"Degree Celsius";"Degree Celsius";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CG";"TransactionalMeasurementUnitCode";"CG";"Card";"Card: A unit of count defining the number of units of card (card: thick stiff paper or cardboard).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CGM";"TransactionalMeasurementUnitCode";"CGM";"Centigram";"Centigram: One hundredth (1/100) of a gram.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CLT";"TransactionalMeasurementUnitCode";"CLT";"Centilitre";"Centilitre: A centilitre is one hundredth (1/100) of a litre";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CMK";"TransactionalMeasurementUnitCode";"CMK";"Square Centimetre";"Square Centimetre: an area of a square whose sides are exactly 1 centimetre in length.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CMQ";"TransactionalMeasurementUnitCode";"CMQ";"Cubic Centimetre";"Cubic Centimetre: A cubic centimetre is the volume of a cube of side length one centimetre (0.01 m) equal to a millilitre.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CMT";"TransactionalMeasurementUnitCode";"CMT";"Centimetre";"Centimetre: A centimetre is equal to one hundredth of a metre.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CN";"TransactionalMeasurementUnitCode";"CN";"Can";"Can";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CO";"TransactionalMeasurementUnitCode";"CO";"Cubic metre (Net)";"Cubic metre (Net)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CQ";"TransactionalMeasurementUnitCode";"CQ";"Cartridge";"Cartridge";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CT";"TransactionalMeasurementUnitCode";"CT";"Carton";"Carton";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CV";"TransactionalMeasurementUnitCode";"CV";"Cover";"Cover";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CWA";"TransactionalMeasurementUnitCode";"CWA";"Hundred Pounds (CWT)";"Hundred Pounds (CWT): A unit of weight in the U.S. Customary System equal to 100 pounds (45.36 kilograms); also called cental.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:CWI";"TransactionalMeasurementUnitCode";"CWI";"Hundred Weight";"Hundred Weight: A unit of weight in the British Imperial System equal to 112 pounds (50.80 kilograms); also called quintal.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:D43";"TransactionalMeasurementUnitCode";"D43";"Atomic Mass Units (AMU)";"Atomic Mass Units (AMU)";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:D63";"TransactionalMeasurementUnitCode";"D63";"Count";"Count: A unit of count defining the number of books (book: set of items bound together or written document of a material whole).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DAY";"TransactionalMeasurementUnitCode";"DAY";"Days";"Days";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DG";"TransactionalMeasurementUnitCode";"DG";"Decigram";"Decigram: one tenth (1/10) of a gram.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DLT";"TransactionalMeasurementUnitCode";"DLT";"Decilitre";"Decilitre: A measure of capacity or volume in the metric system; one tenth of a litre, equal to 6.1022 cubic inches, or 3.38 fluid ounces..";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DMK";"TransactionalMeasurementUnitCode";"DMK";"Square Decimetre";"Square Decimetre: A square deciimetre is an area of a square whose sides are exactly 1 deciimetre in length.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DMQ";"TransactionalMeasurementUnitCode";"DMQ";"Cubic Decimetre";"Cubic Decimetre: A cubic decimetre is the volume of a cube of side length one decimetre (0.1 m).";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DMT";"TransactionalMeasurementUnitCode";"DMT";"Decimetre";"Decimetre: One tenth of a metre.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DO";"TransactionalMeasurementUnitCode";"DO";"Dollars, U.S.";"Dollars, U.S.";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
"urn:gs1:gdd:cl:TransactionalMeasurementUnitCode:DR";"TransactionalMeasurementUnitCode";"DR";"Drum";"Drum";"CODEVALUE";"GDSN";;"NEW";"CURRENT";1
