"semanticResourceURN";"Code Value";"resourceSubTypeCode";"Code List";"Domain";"ExternalLink";"codeName";"Definition";"changeLog";"Status";"Version";"Change Date";"changeLogComment"
"urn:gs1:gdd:cl:TransportMeansTypeCode:46";"46";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Refrigerated van";"A small rigid covered vehicle for conveying refrigerated goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:46E";"46E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"not defined";"A rigid lorry fitted with a tank capable of carrying liquids or bulk goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:47";"47";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Bulk truck";"A truck suitable for transporting bulk goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:48";"48";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Van";"A small vehicle suitable for carrying small volume loads.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:50E";"50E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner rigid truck (GS1 Code)";"Tautliner rigid truck (GS1 Code)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:51E";"51E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner rigid truck with removable roof (GS1 Code)";"Tautliner rigid truck with removable roof (GS1 Code)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:53E";"53E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Trailer with opening floor (GS1 Code)";"A trailer with an opening floor mechanism which is used to discharge the cargo.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:54E";"54E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Train with convergent set of wagons (GS1 Code)";"A train whith wagons coming from different despatch locations which must be grouped in order to form one train.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:55E";"55E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Train with divergent set of wagons (GS1 Code)";"A train with wagons coming from the same dispatch location which will be split in different trains because there are more than one point of delivery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:56E";"56E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Combination of a truck (length 6 m) and a trailer (length 8 m) (GS1 Code)";"Combination of a truck (length 6 m) and a trailer (length 8m) having a combined tonnage of between 23 and 25 tons and a loading capacity of 90m3.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:57E";"57E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Combination of a truck (length 6 m) and a trailer (length 9 m) (GS1 Code)";"Combination of a truck (length 6m) and a trailer (length 9m) having a combined tonnage of between 23 and 25 tons and a loading capacity of 100m3.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:58E";"58E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Combination of a truck and trailer with a length of 13.6m, a tonnage between 23 and 25 tons (GS1 Code)";"Combination of a truck and a trailer with a length of 13.6m, a tonnage between 23 and 25 tons, and a loading capacity of 80 m3.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:59E";"59E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Rail wagon (GS1 Code)";"A single rail wagon used to carry goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:73";"73";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Train with more than one and less than 20 wagons";"A train with more than one and less than 20 wagons used to carry goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:74";"74";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Train with 20 or more wagons";"A train with 20 or more wagons used to carry goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:77";"77";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Freezer truck and isothermic trailer";"A combined freezer truck and isothermic trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:77E";"77E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Furniture truck and trailer (GS1 Code)";"A combined truck and trailer capable of carrying furniture.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:78";"78";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Isothermic truck and isothermic trailer";"A truck and a trailer equipped to maintain controlled temperatures.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:78E";"78E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck and furniture trailer (GS1 Code)";"TA combined tautliner truck and furniture trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:79";"79";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Refrigerated truck and isothermic trailer";"A combined refrigerated truck and isothermic trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:79E";"79E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck with removable roof and furniture trailer (GS1 Code)";"A combined .tautliner truck with removable roof and furniture trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:80";"80";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Freezer truck and refrigerated trailer";"A combined freezer truck and refrigerated trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:81";"81";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Isothermic truck and refrigerated trailer";"A combined isothermic truck and refrigerated trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:82";"82";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Rigid truck with tank and tank trailer";"A combined rigid truck with tank and tank trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:83";"83";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Bulk truck and tank trailer";"A combined truck capable of carrying liquids or bulk goods and a tank trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:84";"84";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Rigid truck with tank and bulk trailer";"A combined rigid truck with tank and a trailer capable of carrying liquids or bulk goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:85";"85";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Bulk truck and bulk trailer";"A combined truck and a trailer both capable of carrying liquids or bulk goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:86";"86";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck and extendable trailer";"A combined tautliner truck and extendable trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:87";"87";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck with removable roof and extendable trailer";"A combined tautliner truck with removable roof and extendable trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:88";"88";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck with opening floor and extendable trailer";"A combined truck with opening floor and extendable trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:89";"89";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Bulk truck and extendable trailer";"A combined truck capable of carrying liquids or bulk goods and an extendable trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:9";"9";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Exceptional transport";"Transport for which common characteristics are not applicable (e.g. big transformers requiring special wagons, special tackles, special routing etc.).";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:90";"90";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Isothermic truck and freezer trailer";"A combined isothermic truck and freezer trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:91";"91";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Refrigerated truck and freezer trailer";"A combined refrigerated truck and freezer trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:92";"92";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tip-up truck and gondola trailer";"A combined tip-up truck and gondola trailer. A gondola trailer is a split level trailer suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:93";"93";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck and gondola trailer";"A combined tautliner truck and gondola trailer. A gondola trailer is a split level trailer suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:93E";"93E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck and trailer with opening floor (GS1 Code)";"A combined truck and a trailer with an opening floor.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:94";"94";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck with removable roof and gondola trailer";"A combined tautliner truck with removable roof and gondola trailer. A gondola trailer is a split level trailer suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:95";"95";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck with opening floor and gondola trailer";"A combined truck with opening floor and gondola trailer. A gondola trailer is a split level trailer suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:95E";"95E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck and dolly trailer (GS1 Code)";"A combined tautliner truck and a dolly trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:96";"96";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Bulk truck and gondola trailer";"A combined truck capable of carrying liquids or bulk goods and a gondola trailer. A gondola trailer is a split level trailer suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:96E";"96E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"A tautliner truck with removable roof and a dolly trailer (GS1 Code)";"A combined tautliner truck with removable roof and a dolly trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:97";"97";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tip-up truck and extendable gondola trailer";"A combined tip-up truck with extendable gondola trailer. An extendable gondola trailer is a trailer fitted with a rear axle which can be extended to cater for variable length and is suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:97E";"97E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck with trailer (GS1 Code)";"Combined truck and trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:98";"98";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck and extendable gondola trailer";"A combined tautliner truck and extendable gondola trailer. An extendable gondola trailer is a trailer fitted with a rear axle which can be extended to cater for variable length and is suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:98E";"98E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck with crane for moving goods without trailer (GS1 Code)";"A truck with a crane that enables to move goods, without trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:99";"99";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Tautliner truck with removable roof and extendable gondola trailer";"A combined tautliner truck with removable roof and extendable gondola trailer. An extendable gondola trailer is a trailer fitted with a rear axle which can be extended to cater for variable length and is suitable for the transport of heavy machinery.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:99E";"99E";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck with crane for moving goods with trailer (GS1 Code)";"A truck with a crane that enables to move goods, with trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:TRAILER";"TRAILER";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Trailer";"The general term for trailer to be used where providing the details of a trailer is not relevant or not practical.";"NEW";"CURRENT";2;01/05/2019;
"urn:gs1:gdd:cl:TransportMeansTypeCode:X01";"X01";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck with crane for lifting goods without trailer (GS1 Code)";"A truck with a crane that enables to lift goods, without trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:X02";"X02";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck with crane for lifting goods with trailer (GS1 Code)";"A truck with a crane that enables to lift goods, with trailer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:X15";"X15";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Armoured Car (GS1 Code)";"Armoured Car (GS1 Code)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:X3";"X3";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Truck up to 3,5 tons (GS1 Code)";"A truck with a total weight up to 3,5 tons.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportMeansTypeCode:X4";"X4";"CODEVALUE";"TransportMeansTypeCode";"EDI";;"Miscellaneous transport means (GS1 Code) ";;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode";;"CODELIST";"TransportModeCode";"EDI";;;"Based on the UN/EDIFACT 8067  Code List. GS1 Extended.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:TransportModeCode:00";"00";"CODEVALUE";"TransportModeCode";"EDI";;"This code should be avoided";"This code should be avoided.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:10";"10";"CODEVALUE";"TransportModeCode";"EDI";;"Maritime transport";"This code should be used whenever the transport vehicle completes any part of ist journey by sea.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:100";"100";"CODEVALUE";"TransportModeCode";"EDI";;"Courier service (GS1 Code)";"A courier service used to collect and deliver a consignment to its destination.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:20";"20";"CODEVALUE";"TransportModeCode";"EDI";;"Rail transport";"Rail transport";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:30";"30";"CODEVALUE";"TransportModeCode";"EDI";;"Road transport";"Road transport";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:40";"40";"CODEVALUE";"TransportModeCode";"EDI";;"Air transport";"Air transport";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:50";"50";"CODEVALUE";"TransportModeCode";"EDI";;"Mail";"(Actual mode of transport unknown) - This code is provided for practical reasons, despite the fact that mail is not a genuine mode of transport. In many countries, the value of merchandise exported by mail is considerable, but the exporter or importer concerned would be unable to state by which mode postal items had passed the national border.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:60";"60";"CODEVALUE";"TransportModeCode";"EDI";;"Multimodal transport";"This code is used when goods are carried to their destination by at least two different modes on the basis of one transport contract. (Local pick-up and delivery of goods out in the performance of a unimodal transport contract shall not be considered as multimodal transport.)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:70";"70";"CODEVALUE";"TransportModeCode";"EDI";;"Fixed transport installations";"This code applies to installations for continuous transport such as pipelines, ropeways and electric power lines.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportModeCode:80";"80";"CODEVALUE";"TransportModeCode";"EDI";;"Inland water transport";"This code is used only where carriage is effected entirely by inland water transport.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPartyRoleCode";;"CODELIST";"TransportPartyRoleCode";"EDI";;;"Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:TransportPartyRoleCode:CARRIER";"CARRIER";"CODEVALUE";"TransportPartyRoleCode";"EDI";;"Carrier";"A company, which physically transports goods from one place to another.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPartyRoleCode:CONSIGNEE";"CONSIGNEE";"CODEVALUE";"TransportPartyRoleCode";"EDI";;"Consignee";"The person, business, or organisation who is usually the buyer of commodities.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPartyRoleCode:CONSIGNOR";"CONSIGNOR";"CODEVALUE";"TransportPartyRoleCode";"EDI";;"Consignor";"Party requesting the shipment of the freight/goods. Party responsible for origination of Motor Carrier Bill of Lading.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPartyRoleCode:RECEIVER";"RECEIVER";"CODEVALUE";"TransportPartyRoleCode";"EDI";;"Receiver";"A party who engages in receiving goods";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPartyRoleCode:SHIPPER";"SHIPPER";"CODEVALUE";"TransportPartyRoleCode";"EDI";;"Shipper";"A party who engages in shipping goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode";;"CODELIST";"TransportPaymentMethodCode";"EDI";;;"Based on the UN/EDIFACT 4215  Code List. GS1 Restricted and Extended.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:AA";"AA";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Cash on delivery service charge paid by consignor";"An indication that the consignor is responsible for the payment of the cash on delivery service charge.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:AB";"AB";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Cash on delivery service charge paid by consignee";"An indication that the consignee is responsible for the payment of the cash on delivery service charge.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:AC";"AC";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Insurance costs paid by consignor";"An indication that the consignor is responsible for the payment of the insurance costs.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:AD";"AD";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Insurance costs paid by consignee";"An indication that the consignee is responsible for the payment of the insurance costs.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:CA";"CA";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Advance collect";"The amount of freight or other charge on a shipment advanced by one transportation line to another or to the shipper, to be collected from consignee.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:CC";"CC";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Collect";"A shipment on which freight charges will be paid by consignee.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:CF";"CF";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Collect, freight credited to payment customer";"The freight is collect but has been paid by the shipper and will be credited to that party.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:DF";"DF";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Defined by buyer and supplier";"The payment method for transport charges have been defined by the buyer and seller.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:MX";"MX";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Mixed";"The consignment is partially collect and partially prepaid.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:NC";"NC";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Service freight, no charge";"The consignment is shipped on a service basis and there is no freight charge.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:PC";"PC";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Prepaid but charged to customer";"Shipping charges have been paid in advance of shipment but are charged back to consignee usually as line item on invoice for the purchased goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:PO";"PO";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Prepaid only";"Payment in advance of freight and/or other charges prior to delivery of shipment at destination, usually by shipper at point of origin.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:PP";"PP";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Prepaid (by seller)";"Seller of goods makes payment to carrier for freight charges prior to shipment";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:PU";"PU";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Pickup";"Customer is responsible for payment of pickup charges at shipping point.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:RC";"RC";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Return container freight paid by customer";"The freight for returning the container is paid by the customer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:RF";"RF";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Return container freight free";"There is no freight charge for returning the container.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:RS";"RS";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Return container freight paid by supplier";"The freight charge for returning the container is paid by the supplier.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:TP";"TP";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Third party pay";"A third party, someone other than buyer or seller, is identified as responsible for payment of shipping charges.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:WD";"WD";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Paid by supplier";"Transport charges will be paid by the supplier.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPaymentMethodCode:WE";"WE";"CODEVALUE";"TransportPaymentMethodCode";"EDI";;"Paid by buyer";"Transport charges will be paid by the buyer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPlanningDateTypeEnumeration";;"CODELIST";"TransportPlanningDateTypeEnumeration";"EDI";;;"An enumerated Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:TransportPlanningDateTypeEnumeration:DELIVERY_DATE";"DELIVERY_DATE";"CODEVALUE";"TransportPlanningDateTypeEnumeration";"EDI";;"not defined";"Planning is based on the date the shipment will be delivered to the designated location.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportPlanningDateTypeEnumeration:PICKUP_DATE";"PICKUP_DATE";"CODEVALUE";"TransportPlanningDateTypeEnumeration";"EDI";;"not defined";"Planning is based on the date the shipment will be picked up from the designated location.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode";;"CODELIST";"TransportReferenceTypeCode";"EDI";;;"Based on the UN/EDIFACT 1153 Code List. GS1 Restricted and Extended.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAB";"AAB";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Proforma invoice number";"Reference number assigned by the seller to a Proforma Invoice.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAC";"AAC";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Documentary credit number";"Reference number assigned by issuing bank to a Documentary credit.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAF";"AAF";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Debit card number";"A reference number identifying a debit card.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAG";"AAG";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Offer or quotation number";"Reference number assigned by issuing party to an offer.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAJ";"AAJ";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Delivery order number";"Reference number assigned by issuer to a delivery order.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAK";"AAK";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Despatch advice number";"Reference number assigned by issuing party to a despatch advice.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAL";"AAL";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Drawing number";"Reference number identifying a specific product drawing.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAM";"AAM";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Waybill number";"Reference number assigned to a waybill";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAN";"AAN";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Delivery schedule number";"Reference number assigned by buyer to a delivery schedule.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAO";"AAO";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Consignee's shipment reference number";"Reference assigned by the consignee to a shipment.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAQ";"AAQ";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Unit load device (e.g. container) identification number";"Marks (letters and/or numbers) which identify a unit load device e.g. freight container.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAS";"AAS";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Transport document number";"Reference assigned by the carrier or his agent to the transport document.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAT";"AAT";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Master label number";"Identifies the master label number of any package type.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:AAU";"AAU";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Despatch note number";"Reference number assigned by the seller to a Despatch Note.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:ABE";"ABE";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Declarant's reference number";"Unique reference number assigned to a document or a message by the declarant for identification purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:ABO";"ABO";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Originator's reference";"A unique reference assigned by the originator.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:ABP";"ABP";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Declarant's Customs identity number";"Reference to the party whose posted bond or security is being declared in order to accept responsibility for a goods declaration and the applicable duties and taxes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:ABQ";"ABQ";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Importer reference number";"Reference number assigned by the importer to identify a particular shipment for his own purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:TransportReferenceTypeCode:ABT";"ABT";"CODEVALUE";"TransportReferenceTypeCode";"EDI";;"Customs declaration number";"Number, assigned or accepted by Customs, to identify a Goods declaration.";"NEW";"CURRENT";1;;
